CustNo,Branch SDN Name,LATITUDE,LONGITUDE,reverse_geotag_mediatrac,address_sap,checking,revisi_latlong
5810011960,SDN Semarang,-7.25514,110.410527,"5810011960 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",JL. JEND. SUDIRMAN NO.63  AMBARAWA SEMARANG,ok,
5810012318,SDN Semarang,-7.254727,110.412459,"5810012318 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",JL. JENDRAL SUDIRMAN NO. 124 AMBARAWA -,ok,
5810017502,SDN Semarang,-7.255773, 110.408403,"5810017502 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO AMBARAWA -,ok,
5810019185,SDN Semarang,-7.25568,110.408,"5810019185 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO AMBARAWA -,ok,
5810019460,SDN Semarang,-7.25568,110.408,"5810019460 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO AMBARAWA -,ok,
5810019682,SDN Semarang,-7.25568,110.408,"5810019682 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO AMBARAWA -,ok,
5810022954,SDN Semarang,-7.255773,110.408403,"5810022954 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO AMBARAWA -,ok,
5810017288,SDN Semarang,-7.255773,110.408403,"5810017288 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO AMBARAWA -,ok,
5810017272,SDN Semarang,-7.255773,110.408403,"5810017272 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO AMBARAWA -,ok,
5810017242,SDN Semarang,-7.254642,110.411902,"5810017242 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO AMBARAWA AMBARAWA SEMARANG -,ok,
5810017407,SDN Semarang,-7.254642,110.411902,"5810017407 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO AMBARAWA SEMARANG -,ok,
5810017218,SDN Semarang,-7.255773,110.408403,"5810017218 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO BLOK A NO.14-16 AMBARAWA -,ok,
5810032244,SDN Semarang,-7.254642,110.411902,"5810032244 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO BLOK T- 5 KUPANG AMBARAWA -,ok,
5810019683,SDN Semarang,-7.254642,110.411902,"5810019683 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO LOS C11 NO.12 AMBARAWA -,ok,
5810017233,SDN Semarang,-7.254642,110.411902,"5810017233 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",PS. PROJO SEMARANG -,ok,
5810012255,SDN Semarang,-6.9715871,110.4362257,"5810012255 Jl. Senjoyo II, Semarang Tim., Kota Semarang, Jawa Tengah 50126, Indonesia 50126","JL. SENJOYO II NO. 2A BUGANGAN, SEMARANG  TIMUR, SEMARANG, JAWA TENGAH",ok,
5810012320,SDN Semarang,-7.000704,110.466334,"5810012320 Jl. Soekarno Hatta, Pedurungan, Kota Semarang, Jawa Tengah 50246, Indonesia 50246",JL. SOEKARNO HATTA NO. 74 PALEBON SEMARANG,ok,
5810011488,SDN Semarang,-7.3181309,110.5034095,"5810011488 Jl. Somopuro Kidul, Sidorejo, Kota Salatiga, Jawa Tengah 50711, Indonesia 50711",JL. SOMOPURO KIDUL RT. 001 RW. 008 SIDOREJO SALATIGA,ok,
5810011838,SDN Semarang,-6.9988244,110.3920685,"5810011838 Jl. Srinindito Baru, Semarang Bar., Kota Semarang, Jawa Tengah 50148, Indonesia 50148",JL. SRININDITO BARU 16-17 SEMARANG -,ok,
5810031034,SDN Semarang,-7.080527,110.0430209,"5810031034 Jl. Sujono, Sukorejo, Kendal, Jawa Tengah 51363, Indonesia 51363",JL. SUJONO . NO 72 KEL. KEBUMEN KEC. SUKOREJO KENDAL,ok,
5810031035,SDN Semarang,-7.080527,110.0430209,"5810031035 Jl. Sujono, Sukorejo, Kendal, Jawa Tengah 51363, Indonesia 51363",JL.SUJONO NO.102 KEBUMEN SUKOREJO -,ok,
5810034374,SDN Semarang,-7.226495900000001,110.3608827,"5810034374 Jl. Sukorini, Bandungan, Semarang, Jawa Tengah 50614, Indonesia 50614","JL. SUKORINI KM 1,7 KENTENG KAB. SEMARANG",ok,
5810012293,SDN Semarang,-7.0159911,110.4183688,"5810012293 Jl. Sultan Agung No.104, Gajahmungkur, Kota Semarang, Jawa Tengah 50232, Indonesia 50232",JL. SULTAN AGUNG SEMARANG -,ok,
5810034170,SDN Semarang,-6.915998,110.605334,"5810034170 Jl. Sultan Trenggono, Kec. Demak, Demak, Jawa Tengah 59517, Indonesia 59517",JL RAYA BUYARAN 17 SETELAH PS BUYARAN KALIKONDANG/KARANGTENGAH DEMAK,ok,
5810017357,SDN Semarang,-7.1483611,110.2856389,"5810017357 Jl. Sumowono-Boja, Limbangan, Kendal, Jawa Tengah 51383, Indonesia 51383",PASAR KENDAL KENDAL -,not ok,"-6.921250, 110.204327"
5810020170,SDN Semarang,-7.1483611,110.2856389,"5810020170 Jl. Sumowono-Boja, Limbangan, Kendal, Jawa Tengah 51383, Indonesia 51383",PS. KENDAL -KENDAL -,not ok,"-6.921250, 110.204327"
5810031004,SDN Semarang,-7.1483611,110.2856389,"5810031004 Jl. Sumowono-Boja, Limbangan, Kendal, Jawa Tengah 51383, Indonesia 51383",PS. LIMBANGAN NO. 40 LIMBANGAN KENDAL -,ok,
5810002478,SDN Semarang,-6.892516,110.64399,"5810002478 Jl. Sunan Kalijaga, Kec. Demak, Demak, Jawa Tengah 59511, Indonesia 59511",JL. SUNAN KALIJAGA 35 DEMAK -,ok,
5810011821,SDN Semarang,-7.0266078,110.4951494,"5810011821 Jl. Suren, Pedurungan, Kota Semarang, Jawa Tengah 50192, Indonesia 50192",JL. SUREN NO. 771 B PLAMONGAN INDAH RT 0 08 RW 007 PLAMONGANSARI KECAMATAN PEDURU,ok,
5810012193,SDN Semarang,-6.9871039,110.4048839,"5810012193 Jl. Suyudono, Semarang Sel., Kota Semarang, Jawa Tengah 50245, Indonesia 50245","JL. SUYUDONO NO. 29 RT. 006 RW. 001 BULU STALAN, SEMARANG SELATAN- KODYA SEMARANG",ok,
5810011806,SDN Semarang,-6.9871039,110.4048839,"5810011806 Jl. Suyudono, Semarang Sel., Kota Semarang, Jawa Tengah 50245, Indonesia 50245",JL. SUYUDONO NO.79 SEMARANG -,ok,
5810021534,SDN Semarang,-6.987894,110.467204,"5810021534 Jl. Syuhada Raya No.51, Pedurungan, Kota Semarang, Jawa Tengah 50192, Indonesia 50192",TLOGOSARI WETAN RT. 005 RW. 002 TLOGOSARI WETAN SEMARANG,ok,
5810012295,SDN Semarang,-6.994449,110.418998,"5810012295 Jl. Taman Menteri Supeno, Semarang Sel., Kota Semarang, Jawa Tengah 50249, Indonesia 50249", JL. TAMAN MENTERI SUPENO 2 MUGASARI SEM ARANG SELATAN SEMARANG JAWA TENGAH,ok,
